2,2
4,4
11,11
12,12
18,18
19,19
24,24
32,32
33,33
34,34
42,42
55,55
56,56
62,62
68,68
69,69
83,83
85,85
96,96
100,100
101,101
104,104
105,105
106,106
115,115
116,116
117,117
120,120
125,125
130,130
131,131
134,134
135,135
166,166
167,167
180,180
184,184
186,186
194,194
196,196
197,197
198,198
199,199
202,202
205,205
214,214
215,215
256,256
259,259
264,264
274,274
275,275
279,279
283,283
301,301
303,303
325,325
327,327
330,330
331,331
333,333
336,336
337,337
341,341
342,342
345,345
347,347
352,352
354,354
355,355
357,357
358,358
359,359
362,362
373,373
374,374
376,376
379,379
380,380
386,386
387,387
398,398
404,404
405,405
417,417
423,423
424,424
426,426
438,438
448,448
460,460
461,461
478,478
482,482
484,484
485,485
486,486
489,489
501,501
502,502
503,503
513,513
514,514
528,528
531,531
532,532
533,533
534,534
536,536
538,538
539,539
551,551
552,552
553,553
554,554
556,556
568,568
578,578
587,587
588,588
589,589
590,590
591,591
592,592
593,593
612,612
613,613
616,616
624,624
629,629
706,706
707,707
708,708
711,711
717,717
718,718
719,719
732,732
735,735
745,745
746,746
749,749
750,750
760,760
761,761
768,768
772,772
776,776
781,781
785,785
789,789
793,793
795,795
812,812
820,820
821,821
830,830
831,831
832,832
833,833
835,835
852,852
876,876
877,877
886,886
887,887
888,888
891,891
897,897
906,906
907,907
908,908
911,911
929,929
930,930
931,931
933,933
945,945
968,968
970,970
984,984
985,985
986,986
987,987
988,988
994,994
995,995
996,996
997,997
998,998
1004,1004
1005,1005
1006,1006
1007,1007
1019,1019
1020,1020
1027,1027
1031,1031
1038,1038
1039,1039
1058,1058
1095,1095
1096,1096
1098,1098
1106,1106
1107,1107
1117,1117
1120,1120
1122,1122
1132,1132
1133,1133
1135,1135
1136,1136
1137,1137
1139,1139
1140,1140
1157,1157
1161,1161
1162,1162
1163,1163
1164,1164
1165,1165
1166,1166
1167,1167
1168,1168
1169,1169
1170,1170
1171,1171
1172,1172
1173,1173
